nom_q_1102,nom_q_1111,serv_SbjNum,nom_q_1110,nom_q_3222code,ord_T_q_9101a_3,ord_T_q_9101a_4,ord_T_q_9101a_5,ord_T_q_9101a_7,ord_T_q_9101a_8,ord_T_q_9101b_1,ord_T_q_9101b_2,ord_T_q_9101b_3,ord_T_q_9101b_4,ord_T_q_9101b_6,ord_T_q_9101b_7,ord_T_q_9101c_1,ord_T_q_9101c_2,ord_T_q_9101c_4,ord_T_q_9101c_6,ord_T_q_9101c_7,ord_T_q_9101c_8,ord_T_q_9101c_9,ord_T_q_9101d_2,ord_T_q_9101d_3,ord_T_q_9101d_4,ord_T_q_9101d_6,ord_T_q_9101d_7,ord_T_q_9101d_8,ord_T_q_9101d_9,ord_T_q_9101e_1,ord_T_q_9101e_2,ord_T_q_9101e_4,ord_T_q_9101e_7,ord_T_q_9101e_8,ord_T_q_9101f_2,nom_q_9103b,nom_q_9103c,nom_q_9103d,nom_q_9103e,nom_q_9103f,nom_q_9103g,nom_q_9103h,nom_q_9103i,nom_q_9103j,nom_q_9103k,nom_q_9103l,nom_q_9103m,nom_q_9103n,nom_q_9103o,nom_q_9103p,nom_q_9103q,nom_q_9103r,nom_q_9103s,ord_q_9301,nom_q_9303,nom_q_9305,nom_q_9306,nom_q_9308
Man,Dushanbe,166036773,City,3,It's a little weird,Absolutely like,Neutral,It's a little weird,Neutral,It's a little weird,Absolutely like,It's a little weird,It's a little weird,It's a little weird,Absolutely like,It's a little weird,It's a little weird,Absolutely like,It's a little weird,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Absolutely like,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Electronics,Photography,Owning a store,Company management,Physical training,Music,Physics,Education,Law,Child care,"Playing in a group, being a member of a music team",Travel agent,Work in the office,The nurse of mercy,Electric,Accounting,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",I don't know / Rejection,I don't know / Rejection,I don't know / Rejection,don't know / Denial
Man,Dushanbe,165975968,City,3,It's a little weird,Absolutely like,It's a little weird,It's a little weird,Absolutely like,It's a little weird,Absolutely like,It's a little weird,It's a little weird,It's a little weird,Absolutely like,It's a little weird,Neutral,Neutral,Neutral,Neutral,Neutral,It's a little weird,It's a little weird,Absolutely like,It's a little weird,It's a little weird,It's a little weird,Absolutely like,It's a little weird,It's a little weird,Absolutely like,Absolutely like,It's a little weird,Absolutely like,It's a little weird,Electronics,Photography,Advice on work,Company management,Physical training,Music,Economic sciences,Education,Artist / Folk Crafts,Child care,"Playing in a group, being a member of a music team",Mechanic,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",I don't know / Rejection,I don't know / Rejection,I don't know / Rejection,don't know / Denial
Man,Dushanbe,165762669,City,3,Neutral,It's a little weird,A little disliked,Not at all,Not at all,Not at all,Absolutely like,It's a little weird,Absolutely like,Not at all,Neutral,It's a little weird,Not at all,A little disliked,It's a little weird,Not at all,Absolutely like,Not at all,A little disliked,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,It's a little weird,Absolutely like,Absolutely like,It's a little weird,Not at all,Absolutely like,Not at all,Electronics,Photography,Advice on work,Company management,Physical training,Music,Physics,Education,Law,Child care,Landscaping,Travel agent,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"We had enough money for food and clothes, but to buy a refrigerator",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),"Higher education (University, Conservatory, Academy) or Postgraduate studies, etc"
Man,Dushanbe,166824037,City,6,It's a little weird,Absolutely like,It's a little weird,Absolutely like,Absolutely like,Neutral,Neutral,It's a little weird,It's a little weird,Absolutely like,It's a little weird,It's a little weird,It's a little weird,Neutral,Absolutely like,Neutral,It's a little weird,Neutral,Absolutely like,It's a little weird,Absolutely like,It's a little weird,Absolutely like,It's a little weird,It's a little weird,Absolutely like,Absolutely like,It's a little weird,Absolutely like,Absolutely like,Neutral,Electronics,Photography,Owning a store,Company management,Doktor,Working with wood,Physics,Education,Law,Stand electronics,Landscaping,Mechanic,Work in the office,The nurse of mercy,Electric,Accounting,Economist,Helping patients in the hospital,"We had enough money for food and clothes, but to buy a refrigerator",Does not work due to limited physical ability or illness,"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Dushanbe,166876610,City,6,It's a little weird,Absolutely like,Neutral,Absolutely like,Neutral,Absolutely like,It's a little weird,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Neutral,Absolutely like,Neutral,Neutral,Neutral,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Neutral,Absolutely like,It's a little weird,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Neutral,Electronics,Photography,Owning a store,Company management,Doktor,Music,Physics,Education,Law,Stand electronics,Landscaping,Mechanic,Work in the office,The nurse of mercy,Electric,Accounting,Economist,Confirmation of a home loan (mortgage),"We had enough money for food and clothes, but to buy a refrigerator",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),Primary vocational education (VET) or secondary vocational education (technical school),Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher education (University, Conservatory, Academy) or Postgraduate studies, etc"
Women,Dushanbe,165646393,City,4,Absolutely like,It's a little weird,A little disliked,A little disliked,Not at all,Neutral,Neutral,A little disliked,A little disliked,Not at all,It's a little weird,It's a little weird,A little disliked,It's a little weird,Neutral,A little disliked,Absolutely like,A little disliked,Not at all,Absolutely like,Neutral,It's a little weird,Absolutely like,Neutral,Neutral,Absolutely like,It's a little weird,A little disliked,A little disliked,A little disliked,Neutral,Electronics,Photography,Owning a store,Company management,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",I don't know / Rejection,,Entrepreneur / employee with self-account / private entrepreneur / employer (yes),"Higher education (University, Conservatory, Academy) or Postgraduate studies, etc"
Women,Dushanbe,165756046,City,10,Neutral,Neutral,Neutral,A little disliked,Not at all,It's a little weird,It's a little weird,A little disliked,It's a little weird,Not at all,Neutral,It's a little weird,It's a little weird,It's a little weird,Absolutely like,It's a little weird,Absolutely like,It's a little weird,Not at all,Absolutely like,Neutral,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Absolutely like,It's a little weird,Neutral,Neutral,It's a little weird,Neutral,Electronics,Photography,Owning a store,Company management,Physical training,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Geology,Economist,Helping patients in the hospital,"We had enough money for food and clothes, but to buy a refrigerator",Dead,I don't know / Rejection,Working as an employee or assistant in a NON-agricultural business / m,Primary vocational education (vocational school) or secondary vocational (Technical school)
Man,Dushanbe,166511885,City,3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Electronics,Photography,Owning a store,Helping families in need,Physical training,Working with wood,Economic sciences,Education,Law,Child care,Landscaping,Mechanic,Work in the office,Forest,Electric,Geology,Builder,Confirmation of a home loan (mortgage),"Without borrowing money, he could easily buy household appliances",Unofficial / unregistered employee (NOT YOUR FAMILY BUSINESS),Complete general secondary education (Grades 10-11),Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Dushanbe,166511884,City,3,Neutral,A little disliked,Neutral,It's a little weird,Neutral,Not at all,Neutral,A little disliked,It's a little weird,Neutral,Neutral,It's a little weird,A little disliked,Neutral,It's a little weird,A little disliked,Absolutely like,Not at all,A little disliked,Neutral,Neutral,Neutral,Not at all,Neutral,It's a little weird,Not at all,Neutral,Neutral,It's a little weird,A little disliked,Not at all,Electronics,Photography,Owning a store,Helping families in need,Physical training,Working with wood,Economic sciences,Education,Law,Child care,Landscaping,Mechanic,Work in the office,Forest,Electric,Geology,Builder,Helping patients in the hospital,"We had enough money for food and clothes, but to buy a refrigerator",I don't know / Rejection,,Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Dushanbe,165654247,City,3,Absolutely like,Absolutely like,It's a little weird,Neutral,Neutral,It's a little weird,Neutral,It's a little weird,Neutral,A little disliked,Neutral,Neutral,Neutral,It's a little weird,Neutral,Neutral,It's a little weird,A little disliked,Neutral,It's a little weird,Neutral,Neutral,It's a little weird,It's a little weird,Neutral,Absolutely like,Absolutely like,Neutral,Neutral,Neutral,A little disliked,Electronics,Photography,Owning a store,Company management,Doktor,Music,Economic sciences,Education,Law,Stand electronics,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Confirmation of a home loan (mortgage),"We could have bought a car without any problems, but a house",Entrepreneur / employee with self-account / private entrepreneur / employer (yes),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Primary vocational education (vocational school) or secondary vocational (Technical school)
Man,Dushanbe,165621683,City,6,Absolutely like,Absolutely like,Absolutely like,Neutral,It's a little weird,Not at all,Neutral,It's a little weird,Neutral,Not at all,Absolutely like,Neutral,Not at all,Not at all,Neutral,Absolutely like,Neutral,Not at all,Absolutely like,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Neutral,Absolutely like,Absolutely like,Not at all,Neutral,Absolutely like,Not at all,Electronics,Botany,Owning a store,Company management,Physical training,Music,Physics,Education,Law,Stand electronics,Landscaping,Mechanic,Work in the office,Forest,Electric,Accounting,Builder,Confirmation of a home loan (mortgage),"We could have bought a car without any problems, but a house",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Unemployed (ready to work and looking for work),Full secondary education (grades 10-11)
Man,Khatlon,166511887,Village,8,A little disliked,A little disliked,A little disliked,Neutral,Neutral,It's a little weird,A little disliked,It's a little weird,Neutral,A little disliked,Neutral,Neutral,A little disliked,A little disliked,A little disliked,Neutral,It's a little weird,A little disliked,A little disliked,It's a little weird,It's a little weird,A little disliked,Absolutely like,Absolutely like,It's a little weird,It's a little weird,Neutral,It's a little weird,A little disliked,A little disliked,Not at all,Chemistry,Botany,Owning a store,Helping families in need,Doktor,Music,Physics,Education,Law,Stand electronics,"Playing in a group, being a member of a music team",Mechanic,Work in the office,Forest,Electric,Accounting,Builder,Helping patients in the hospital,"We had enough money for food and clothes, but to buy a refrigerator","Work as an employee or assistant on a farm (farm, h",Complete general secondary education (Grades 10-11),Doing housework (including caring for children),Incomplete general secondary education (grades 5-9)
Women,Dushanbe,165812058,City,8,Absolutely like,Absolutely like,It's a little weird,It's a little weird,Not at all,Not at all,Not at all,Not at all,Absolutely like,Not at all,A little disliked,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Chemistry,Photography,Owning a store,Company management,Doktor,Music,Physics,Education,Law,Child care,"Playing in a group, being a member of a music team",Travel agent,Work in the office,The nurse of mercy,Electric,Accounting,Builder,Confirmation of a home loan (mortgage),"Money did not always reach the family, even for food",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),Without formal education,Doing housework (including caring for children),Without formal education
Women,Dushanbe,166511891,City,8,Absolutely like,Absolutely like,Absolutely like,Not at all,Not at all,Neutral,Neutral,Neutral,Neutral,Not at all,Neutral,Not at all,A little disliked,It's a little weird,Absolutely like,Not at all,Neutral,Not at all,Neutral,Neutral,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Neutral,Absolutely like,Not at all,Not at all,Not at all,A little disliked,Chemistry,Photography,Owning a store,Company management,Doktor,Music,Physics,Education,Law,Child care,"Playing in a group, being a member of a music team",Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher education (University, Conservatory, Academy) or Postgraduate studies, etc"
Man,Khatlon,166679892,City,8,It's a little weird,It's a little weird,It's a little weird,It's a little weird,Neutral,Absolutely like,It's a little weird,Neutral,It's a little weird,Neutral,It's a little weird,Absolutely like,Neutral,Absolutely like,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Absolutely like,Absolutely like,Neutral,It's a little weird,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Absolutely like,It's a little weird,It's a little weird,It's a little weird,Chemistry,Botany,Advice on work,Helping families in need,Doktor,Working with wood,Physics,Education,Artist / Folk Crafts,Child care,"Playing in a group, being a member of a music team",Travel agent,Work in the office,The nurse of mercy,Economist,Geology,Economist,Helping patients in the hospital,"Money did not always reach the family, even for food",Unemployed (ready to work and looking for work),General Primary Education (Grades 1-4),Doing housework (including caring for children),Without formal education
Man,Dushanbe,165885037,City,8,Not at all,It's a little weird,Neutral,A little disliked,It's a little weird,It's a little weird,A little disliked,Neutral,A little disliked,Not at all,It's a little weird,Not at all,Not at all,Not at all,A little disliked,Not at all,Neutral,Not at all,A little disliked,It's a little weird,It's a little weird,A little disliked,Neutral,Not at all,Absolutely like,Neutral,A little disliked,Neutral,Not at all,Not at all,It's a little weird,Chemistry,Botany,Owning a store,Helping families in need,Doktor,Music,Physics,Education,Law,Stand electronics,"Playing in a group, being a member of a music team",Mechanic,Work in the office,The nurse of mercy,Electric,Accounting,Builder,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),"Higher education (University, Conservatory, Academy) or Postgraduate studies, etc"
Women,Dushanbe,165693067,City,8,Neutral,Absolutely like,Absolutely like,Absolutely like,Neutral,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Not at all,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Not at all,It's a little weird,Not at all,Absolutely like,Absolutely like,Absolutely like,Not at all,Neutral,Absolutely like,Absolutely like,Absolutely like,Not at all,Electronics,Botany,Owning a store,Helping families in need,Doktor,Working with wood,Economic sciences,Education,Law,Child care,Landscaping,Mechanic,Work in the office,The nurse of mercy,Economist,Geology,Builder,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Working as an employee or assistant in a NON-agricultural business / m,"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Incomplete general secondary education (grades 5-9)
Women,Dushanbe,165686976,City,8,Not at all,Not at all,Not at all,Not at all,Not at all,Neutral,A little disliked,Not at all,A little disliked,Not at all,Not at all,Not at all,Not at all,Not at all,Neutral,A little disliked,Not at all,Not at all,Neutral,A little disliked,Not at all,A little disliked,Not at all,Not at all,Neutral,It's a little weird,Neutral,Not at all,Not at all,Not at all,A little disliked,Chemistry,Photography,Advice on work,Helping families in need,Doktor,Music,Physics,Education,Artist / Folk Crafts,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher education (University, Conservatory, Academy) or Postgraduate studies, etc"
Man,Khatlon,166511890,Village,8,It's a little weird,A little disliked,A little disliked,Neutral,It's a little weird,Not at all,Not at all,Neutral,Absolutely like,Neutral,It's a little weird,Absolutely like,Neutral,Not at all,Absolutely like,Not at all,Not at all,Not at all,Neutral,Absolutely like,Absolutely like,It's a little weird,It's a little weird,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,It's a little weird,Absolutely like,Neutral,Chemistry,Botany,Advice on work,Helping families in need,Physical training,Working with wood,Physics,Education,Law,Child care,Landscaping,Mechanic,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Entrepreneur / employee with self-account / private entrepreneur / employer (yes),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,GBAO,165885039,City,8,A little disliked,Not at all,Not at all,A little disliked,Not at all,A little disliked,Not at all,A little disliked,A little disliked,A little disliked,Not at all,A little disliked,A little disliked,Not at all,A little disliked,Not at all,A little disliked,Not at all,Not at all,A little disliked,A little disliked,Not at all,A little disliked,Neutral,Neutral,Not at all,Neutral,Neutral,Neutral,A little disliked,Not at all,Chemistry,Botany,Owning a store,Company management,Doktor,Working with wood,Physics,Education,Law,Stand electronics,Landscaping,Mechanic,Work in the office,The nurse of mercy,Electric,Geology,Builder,Helping patients in the hospital,"We had enough money for food and clothes, but to buy a refrigerator",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
